Source,Target,Weight
0,6,0.9851736608084445
0,11,0.9871948381688752
0,27,0.9552244679504979
0,33,0.9763891823702506
0,36,0.9505183477658715
0,39,0.9523046012053017
0,48,0.9823935183265984
0,50,0.9679777511445973
0,59,0.9952793675023229
0,66,0.9763276050158318
0,68,0.9818607623779094
0,70,0.9773394933774185
0,75,0.9836992820045584
0,85,0.9550734006643024
0,90,0.9623749786361226
0,92,0.9615672158673981
0,100,0.9711323082088748
0,102,0.997047510492697
0,104,0.987905615325961
0,110,0.9747514663825271
0,118,0.9556797173960434
0,119,0.9932283094023867
0,121,0.9790727847035269
0,126,0.9846733376660828
0,130,0.9943765813251345
0,139,0.9981843826334462
0,142,0.9511789703803639
0,145,0.9552287294376608
0,146,0.9722868548783968
0,147,0.9965257771369229
0,148,0.9654921006337305
0,150,0.9571867707707179
0,151,0.9639697324458819
0,153,0.9929835185863807
0,155,0.9596982686200786
0,158,0.9847929749342015
0,164,0.9500273074357443
0,173,0.9790328144194619
0,179,0.9956088676235957
0,186,0.9618036069487091
0,187,0.9682194432674183
0,189,0.9931365411982352
0,190,0.9949763375530901
0,199,0.9690758504856696
0,200,0.9929924956131354
0,205,0.9667555657825136
0,209,0.9991703702025867
0,213,0.9713315056800486
0,216,0.9900492359181122
0,220,0.999108669418702
0,222,0.9846481834139634
0,226,0.9906704280841457
0,230,0.9890875489268033
0,231,0.9909359663665903
0,236,0.9944816655743494
0,253,0.9593548476549982
0,264,0.9928728400191593
0,266,0.9957728760618679
0,273,0.9869837025016803
0,281,0.994586818722876
0,283,0.9791124922824327
0,289,0.9993313998031695
0,290,0.9583927413570466
0,291,0.9908063820044478
0,292,0.9502951307396319
0,301,0.9735639183472347
0,302,0.9620119397058438
0,307,0.98104825839858
0,318,0.9988262132750212
0,321,0.9945540818370113
0,328,0.9633395278491265
0,332,0.9695668651905808
0,338,0.9967593070919536
0,343,0.9951032758433812
0,350,0.9984044321079285
0,354,0.982231884479965
0,356,0.9656108077788688
0,368,0.9756692232692453
0,369,0.9513547773178422
0,385,0.9856579401059716
0,386,0.9846080906714747
0,389,0.9562594894561558
0,408,0.9531010028596733
0,414,0.9576419596667848
0,416,0.9809177939228245
0,419,0.956111344782592
0,421,0.9992023630872254
0,425,0.9691953466571439
0,428,0.987507214172766
0,429,0.9657938451470061
0,432,0.976857903984097
0,435,0.9996059167117418
0,447,0.997700508006649
0,449,0.9870165318590562
0,457,0.9646799407888774
0,460,0.9978405101507904
0,466,0.9581705177808706
0,469,0.9702135958810244
0,472,0.9893948111206113
0,476,0.956621681444712
0,478,0.9890945707205666
0,480,0.9992640707903301
0,482,0.9997635093208754
0,483,0.9814690068399181
0,488,0.9528243386281682
0,492,0.9539480103808314
0,499,0.9680566461490866
0,502,0.9807278549910041
0,506,0.9663386116949634
0,507,0.9999419549221167
0,514,0.98068692723142
0,518,0.9523280207816026
0,522,0.9925912231619122
0,529,0.9798657222266154
0,537,0.9646226205876892
0,539,0.9890861210148322
